Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
19479; 96.91 ; 2049.00 ; 0.04 ; -0.59 ; 9.30 ; 9.32 ; 0.05 ; -0.09 ; -0.19 ; -3.62 ; -0.24 ; 11.90
19608; 102.01 ; 1941.00 ; -0.08 ; -0.47 ; 9.26 ; 9.27 ; 0.05 ; -0.09 ; -0.20 ; -2.91 ; 0.48 ; 12.31
19740; 80.28 ; 1840.00 ; -0.12 ; -0.59 ; 9.45 ; 9.47 ; 0.05 ; -0.09 ; -0.19 ; -3.56 ; 0.71 ; 9.48
19868; 78.63 ; 1894.00 ; 0.04 ; -0.63 ; 9.26 ; 9.28 ; 0.05 ; -0.09 ; -0.19 ; -3.88 ; -0.24 ; 9.86
19996; 82.62 ; 1974.00 ; 0.00 ; -0.43 ; 9.30 ; 9.23 ; 0.05 ; -0.09 ; -0.19 ; -2.66 ; 0.00 ; 2.60
20124; 92.16 ; 1917.00 ; 0.00 ; -0.39 ; 9.34 ; 9.34 ; 0.05 ; -0.09 ; -0.19 ; -2.41 ; 0.00 ; 1.99
20252; 86.30 ; 1716.00 ; -0.04 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.19 ; -3.14 ; 0.24 ; 4.54
20383; 78.65 ; 1703.00 ; 0.00 ; -0.63 ; 9.38 ; 9.40 ; 0.05 ; -0.09 ; -0.19 ; -3.83 ; 0.00 ; 6.08
20510; 94.56 ; 1519.00 ; 0.00 ; -0.51 ; 9.14 ; 9.15 ; 0.05 ; -0.09 ; -0.18 ; -3.19 ; 0.00 ; 1.81
20639; 94.02 ; 1419.00 ; -0.12 ; -0.51 ; 9.30 ; 9.43 ; 0.05 ; -0.09 ; -0.18 ; -3.14 ; 0.72 ; 1.76
20768; 95.73 ; 1391.00 ; 0.00 ; -0.55 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.38 ; 0.00 ; 0.84
20896; 101.39 ; 1376.00 ; -0.04 ; -0.47 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.19 ; -2.90 ; 0.24 ; -3.97
21028; 92.88 ; 1203.00 ; 0.00 ; -0.55 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.18 ; -3.35 ; 0.00 ; -1.38
21157; 79.96 ; 1235.00 ; -0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.13 ; 0.24 ; -5.12
21285; 79.45 ; 1170.00 ; -0.12 ; -0.51 ; 9.38 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.11 ; 0.72 ; -8.07
21412; 94.05 ; 1029.00 ; -0.04 ; -0.47 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -2.90 ; 0.24 ; -11.18
21541; 90.12 ; 876.00 ; -0.04 ; -0.51 ; 9.26 ; 9.27 ; 0.05 ; -0.09 ; -0.18 ; -3.15 ; 0.24 ; -12.92
21673; 90.72 ; 861.00 ; -0.04 ; -0.59 ; 9.18 ; 9.20 ; 0.05 ; -0.09 ; -0.18 ; -3.67 ; 0.24 ; -14.44
21801; 73.89 ; 726.00 ; -0.04 ; -0.55 ; 9.22 ; 9.23 ; 0.05 ; -0.09 ; -0.18 ; -3.41 ; 0.24 ; -14.36
21929; 104.10 ; 654.00 ; -0.04 ; -0.51 ; 9.26 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.15 ; 0.24 ; -16.92
22059; 86.30 ; 629.00 ; 0.04 ; -0.51 ; 9.14 ; 9.15 ; 0.05 ; -0.09 ; -0.18 ; -3.19 ; -0.25 ; -17.42
22188; 95.02 ; 607.00 ; 0.04 ; -0.59 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.61 ; -0.24 ; -18.85
22319; 83.39 ; 526.00 ; -0.04 ; -0.47 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -2.90 ; 0.24 ; -22.82
22447; 82.35 ; 521.00 ; -0.08 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.14 ; 0.48 ; -25.89
22575; 101.60 ; 482.00 ; 0.00 ; -0.59 ; 9.41 ; 9.45 ; 0.05 ; -0.09 ; -0.18 ; -3.58 ; 0.00 ; -25.74
22704; 94.61 ; 434.00 ; -0.08 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.13 ; 0.48 ; -28.10
22833; 95.83 ; 379.00 ; -0.16 ; -0.47 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -2.89 ; 0.96 ; -30.90
22965; 87.83 ; 374.00 ; 0.00 ; -0.55 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.37 ; 0.00 ; -32.86
23093; 79.34 ; 321.00 ; 0.04 ; -0.55 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.18 ; -3.35 ; -0.24 ; -33.48
23221; 95.46 ; 297.00 ; -0.08 ; -0.47 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.18 ; -2.87 ; 0.48 ; -38.94
23350; 94.34 ; 284.00 ; -0.08 ; -0.59 ; 9.22 ; 9.24 ; 0.05 ; -0.09 ; -0.18 ; -3.65 ; 0.49 ; -39.69
23479; 95.05 ; 278.00 ; -0.08 ; -0.51 ; 9.45 ; 9.47 ; 0.05 ; -0.09 ; -0.18 ; -3.09 ; 0.47 ; -42.70
23610; 94.83 ; 244.00 ; 0.00 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.14 ; 0.00 ; -44.93
23739; 95.99 ; 238.00 ; -0.12 ; -0.39 ; 9.26 ; 9.27 ; 0.05 ; -0.09 ; -0.18 ; -2.43 ; 0.73 ; -49.46
23868; 99.97 ; 216.00 ; -0.08 ; -0.59 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.17 ; -3.59 ; 0.48 ; -50.60
23997; 76.20 ; 162.00 ; 0.04 ; -0.55 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.37 ; -0.24 ; -51.41
24124; 81.71 ; 90.00 ; -0.12 ; -0.59 ; 9.18 ; 9.20 ; 0.05 ; -0.09 ; -0.18 ; -3.67 ; 0.73 ; -54.11
24252; 77.17 ; 83.00 ; 0.04 ; -0.55 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.38 ; -0.24 ; -56.31
24383; 91.81 ; 89.00 ; -0.04 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.14 ; 0.24 ; -57.42
24511; 81.96 ; 86.00 ; 0.00 ; -0.47 ; 9.18 ; 9.19 ; 0.05 ; -0.09 ; -0.18 ; -2.94 ; 0.00 ; -60.64
24639; 87.47 ; 99.00 ; 0.00 ; -0.55 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.38 ; 0.00 ; -62.20
24767; 79.39 ; 108.00 ; -0.04 ; -0.43 ; 9.22 ; 9.23 ; 0.05 ; -0.09 ; -0.18 ; -2.68 ; 0.24 ; -64.72
24895; 89.66 ; 89.00 ; 0.00 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.17 ; -3.13 ; 0.00 ; -63.40
25026; 81.81 ; 74.00 ; -0.04 ; -0.63 ; 9.34 ; 9.36 ; 0.05 ; -0.09 ; -0.18 ; -3.85 ; 0.24 ; -64.02
25154; 89.10 ; 52.00 ; 0.00 ; -0.63 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.18 ; -3.85 ; 0.00 ; -68.20
25282; 77.63 ; 29.00 ; 0.04 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.18 ; -3.14 ; -0.24 ; -71.43
25410; 78.48 ; 18.00 ; 0.00 ; -0.63 ; 9.49 ; 9.51 ; 0.05 ; -0.09 ; -0.17 ; -3.78 ; 0.00 ; -71.49
25537; 76.10 ; 14.00 ; -0.04 ; -0.51 ; 9.30 ; 9.27 ; 0.05 ; -0.09 ; -0.17 ; -3.14 ; 0.24 ; -74.69
25677; 98.38 ; 11.00 ; -0.04 ; -0.67 ; 9.41 ; 9.86 ; 0.05 ; -0.09 ; -0.18 ; -4.05 ; 0.24 ; -79.08
25808; 92.71 ; 8.00 ; 0.00 ; -0.55 ; 9.22 ; 9.23 ; 0.05 ; -0.09 ; -0.17 ; -3.41 ; 0.00 ; -81.59
25940; 76.44 ; 3.00 ; 0.04 ; -0.55 ; 9.34 ; 9.43 ; 0.05 ; -0.09 ; -0.17 ; -3.37 ; -0.24 ; -82.12
26071; 88.80 ; 3.00 ; -0.04 ; -0.55 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.18 ; -3.35 ; 0.24 ; -87.69
26202; 88.29 ; 1.00 ; 0.04 ; -0.51 ; 9.41 ; 9.43 ; 0.05 ; -0.09 ; -0.17 ; -3.10 ; -0.24 ; -90.25
26336; 89.31 ; 1.00 ; 0.04 ; -0.47 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.17 ; -2.89 ; -0.24 ; -90.23
26467; 88.64 ; 1.00 ; 0.04 ; -0.39 ; 9.22 ; 9.23 ; 0.05 ; -0.09 ; -0.18 ; -2.44 ; -0.24 ; -94.45
26597; 65.67 ; 1.00 ; -0.04 ; -0.59 ; 9.26 ; 9.28 ; 0.05 ; -0.09 ; -0.18 ; -3.64 ; 0.24 ; -97.35
26727; 65.62 ; 1.00 ; 0.00 ; -0.55 ; 9.26 ; 9.27 ; 0.05 ; -0.09 ; -0.18 ; -3.39 ; 0.00 ; -98.71
26856; 95.07 ; 1.00 ; 0.08 ; -0.47 ; 9.22 ; 9.23 ; 0.05 ; -0.09 ; -0.18 ; -2.92 ; -0.49 ; -97.74
26990; 68.84 ; 1.00 ; -0.08 ; -0.59 ; 9.26 ; 9.28 ; 0.05 ; -0.09 ; -0.17 ; -3.64 ; 0.48 ; -106.42
27119; 91.50 ; 1.00 ; 0.04 ; -0.51 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.17 ; -3.11 ; -0.24 ; -107.31
27250; 87.22 ; 1.00 ; 0.08 ; -0.59 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.17 ; -3.59 ; -0.48 ; -108.03
27380; 93.95 ; 3.00 ; -0.04 ; -0.47 ; 9.14 ; 9.15 ; 0.05 ; -0.09 ; -0.18 ; -2.95 ; 0.25 ; -111.54
27511; 71.08 ; 3.00 ; -0.04 ; -0.39 ; 9.34 ; 9.34 ; 0.05 ; -0.09 ; -0.17 ; -2.41 ; 0.24 ; -115.32
27644; 80.92 ; 2.00 ; -0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.17 ; -3.13 ; 0.24 ; -120.92
27774; 76.76 ; 2.00 ; -0.16 ; -0.51 ; 9.38 ; 9.39 ; 0.05 ; -0.09 ; -0.17 ; -3.11 ; 0.96 ; -122.67
27905; 93.18 ; 2.00 ; -0.08 ; -0.47 ; 9.26 ; 9.27 ; 0.05 ; -0.09 ; -0.17 ; -2.91 ; 0.48 ; -123.17
28036; 84.05 ; 2.00 ; 0.00 ; -0.59 ; 9.22 ; 9.24 ; 0.05 ; -0.09 ; -0.17 ; -3.65 ; 0.00 ; -126.45
28166; 85.12 ; 2.00 ; 0.08 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.17 ; -3.13 ; -0.48 ; -126.77
28299; 90.36 ; 2.00 ; -0.04 ; -0.55 ; 9.30 ; 9.31 ; 0.05 ; -0.10 ; -0.17 ; -3.38 ; 0.24 ; -131.64
28430; 85.07 ; 2.00 ; -0.04 ; -0.39 ; 9.30 ; 9.31 ; 0.05 ; -0.09 ; -0.15 ; -2.42 ; 0.24 ; -131.11
28560; 95.38 ; 2.00 ; -0.04 ; -0.35 ; 9.34 ; 9.34 ; 0.05 ; -0.10 ; -0.12 ; -2.17 ; 0.24 ; -136.09
28691; 75.37 ; 2.00 ; 0.20 ; -0.67 ; 9.38 ; 9.40 ; 0.06 ; -0.12 ; 0.24 ; -4.07 ; -1.20 ; -136.63
28821; 91.43 ; 2.00 ; 0.16 ; -0.67 ; 9.34 ; 9.36 ; 0.06 ; -0.12 ; 0.25 ; -4.09 ; -0.96 ; -134.86
28952; 100.83 ; 2.00 ; 0.12 ; -0.94 ; 9.38 ; 9.42 ; 0.06 ; -0.13 ; 0.26 ; -5.73 ; -0.72 ; -138.34
29086; 94.36 ; 2.00 ; 0.08 ; -1.14 ; 9.34 ; 9.41 ; 0.06 ; -0.13 ; 0.28 ; -6.95 ; -0.48 ; -137.33
29217; 87.22 ; 2.00 ; 0.20 ; -1.02 ; 9.14 ; 9.20 ; 0.06 ; -0.13 ; 0.31 ; -6.37 ; -1.22 ; -133.40
29348; 106.83 ; 2.00 ; 0.16 ; -0.78 ; 9.26 ; 9.29 ; 0.06 ; -0.12 ; 0.23 ; -4.84 ; -0.97 ; -126.15
29479; 101.60 ; 2.00 ; 0.04 ; 0.04 ; 9.38 ; 9.38 ; 0.06 ; -0.12 ; 0.13 ; 0.24 ; -0.24 ; -118.06
29611; 80.16 ; 2.00 ; -0.12 ; -0.47 ; 9.34 ; 9.35 ; 0.05 ; -0.10 ; 0.00 ; -2.89 ; 0.72 ; -125.70
29745; 89.71 ; 2.00 ; -0.16 ; -0.43 ; 9.26 ; 9.31 ; 0.05 ; -0.09 ; -0.15 ; -2.67 ; 0.97 ; -127.30
29875; 84.55 ; 2.00 ; 0.08 ; -0.31 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.03 ; -1.93 ; -0.48 ; -125.86
30006; 97.72 ; 2.00 ; 0.00 ; -0.39 ; 9.41 ; 9.31 ; 0.06 ; -0.10 ; -0.05 ; -2.39 ; 0.00 ; -125.77
30136; 86.18 ; 2.00 ; 0.00 ; -0.12 ; 9.41 ; 9.42 ; 0.05 ; -0.09 ; -0.24 ; -0.72 ; 0.00 ; -120.59
30267; 109.30 ; 2.00 ; 0.08 ; -0.16 ; 9.30 ; 9.34 ; 0.05 ; -0.09 ; -0.16 ; -0.97 ; -0.48 ; -126.87
30401; 89.71 ; 2.00 ; 0.04 ; -0.55 ; 9.34 ; 9.35 ; 0.06 ; -0.12 ; 0.25 ; -3.37 ; -0.24 ; -133.42
30532; 98.84 ; 2.00 ; -0.04 ; -0.67 ; 9.30 ; 9.32 ; 0.06 ; -0.14 ; 0.45 ; -4.10 ; 0.24 ; -136.58
30663; 99.61 ; 2.00 ; -0.04 ; -0.67 ; 9.38 ; 9.40 ; 0.06 ; -0.14 ; 0.45 ; -4.07 ; 0.24 ; -132.30
30794; 98.74 ; 2.00 ; -0.12 ; -0.55 ; 9.30 ; 9.31 ; 0.06 ; -0.12 ; 0.25 ; -3.38 ; 0.72 ; -127.69
30925; 83.48 ; 2.00 ; -0.20 ; -0.43 ; 9.34 ; 9.35 ; 0.05 ; -0.10 ; -0.01 ; -2.65 ; 1.20 ; -122.91
31059; 84.41 ; 2.00 ; -0.20 ; -0.39 ; 9.34 ; 9.35 ; 0.05 ; -0.11 ; 0.07 ; -2.41 ; 1.20 ; -122.22
31190; 97.57 ; 2.00 ; -0.20 ; -0.67 ; 9.30 ; 9.32 ; 0.06 ; -0.11 ; 0.01 ; -4.10 ; 1.21 ; -128.42
31321; 95.99 ; 2.00 ; -0.12 ; -0.47 ; 9.30 ; 9.31 ; 0.05 ; -0.10 ; 0.01 ; -2.90 ; 0.72 ; -121.74
31452; 83.49 ; 2.00 ; -0.04 ; -0.39 ; 9.30 ; 9.31 ; 0.06 ; -0.11 ; 0.06 ; -2.42 ; 0.24 ; -121.55
31582; 91.04 ; 2.00 ; 0.00 ; -0.47 ; 9.22 ; 9.23 ; 0.06 ; -0.13 ; 0.25 ; -2.92 ; 0.00 ; -122.37
31716; 95.12 ; 2.00 ; -0.12 ; -0.55 ; 9.26 ; 9.27 ; 0.05 ; -0.12 ; 0.16 ; -3.39 ; 0.73 ; -123.67
31847; 79.09 ; 2.00 ; -0.08 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.10 ; 0.05 ; -3.13 ; 0.48 ; -120.00
31977; 90.00 ; 2.00 ; 0.16 ; -0.63 ; 9.30 ; 9.32 ; 0.05 ; -0.11 ; 0.07 ; -3.86 ; -0.96 ; -116.06
32107; 87.06 ; 2.00 ; 0.00 ; -0.55 ; 9.18 ; 9.20 ; 0.05 ; -0.11 ; 0.07 ; -3.42 ; 0.00 ; -119.62
32237; 82.47 ; 2.00 ; 0.04 ; -0.55 ; 9.41 ; 9.43 ; 0.05 ; -0.11 ; 0.01 ; -3.34 ; -0.24 ; -114.04
32371; 71.64 ; 2.00 ; -0.08 ; -0.35 ; 9.30 ; 9.30 ; 0.05 ; -0.10 ; -0.01 ; -2.17 ; 0.48 ; -119.46
32500; 93.69 ; 2.00 ; -0.12 ; -0.35 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.04 ; -2.17 ; 0.72 ; -121.87
32631; 79.60 ; 2.00 ; 0.00 ; -0.51 ; 9.14 ; 9.15 ; 0.06 ; -0.11 ; 0.11 ; -3.19 ; 0.00 ; -116.68
32761; 96.33 ; 2.00 ; 0.00 ; -0.55 ; 9.22 ; 9.23 ; 0.06 ; -0.12 ; 0.12 ; -3.41 ; 0.00 ; -116.01
32892; 89.54 ; 2.00 ; 0.00 ; -0.47 ; 9.22 ; 9.23 ; 0.05 ; -0.11 ; 0.03 ; -2.92 ; 0.00 ; -115.72
33022; 97.11 ; 2.00 ; -0.04 ; -0.51 ; 9.30 ; 9.31 ; 0.05 ; -0.10 ; -0.02 ; -3.14 ; 0.24 ; -117.88
33157; 89.65 ; 2.00 ; 0.00 ; -0.43 ; 9.22 ; 9.23 ; 0.06 ; -0.11 ; 0.01 ; -2.68 ; 0.00 ; -116.38
33287; 98.44 ; 2.00 ; -0.04 ; -0.63 ; 9.41 ; 9.44 ; 0.05 ; -0.11 ; 0.05 ; -3.81 ; 0.24 ; -116.96
33418; 90.73 ; 2.00 ; 0.00 ; -0.55 ; 9.30 ; 9.31 ; 0.05 ; -0.11 ; 0.09 ; -3.38 ; 0.00 ; -118.01
33549; 94.30 ; 2.00 ; 0.08 ; -0.55 ; 9.34 ; 9.35 ; 0.05 ; -0.12 ; 0.10 ; -3.37 ; -0.48 ; -117.45
33680; 82.91 ; 2.00 ; 0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.06 ; -0.11 ; 0.10 ; -3.13 ; -0.24 ; -115.31
33813; 71.64 ; 2.00 ; -0.04 ; -0.35 ; 9.49 ; 9.50 ; 0.05 ; -0.11 ; 0.05 ; -2.13 ; 0.24 ; -114.37
33943; 93.88 ; 2.00 ; 0.00 ; -0.47 ; 9.30 ; 9.31 ; 0.05 ; -0.11 ; -0.00 ; -2.90 ; 0.00 ; -120.53
Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
1148; 96.24 ; 2.00 ; -0.12 ; -0.86 ; 9.30 ; 9.34 ; 0.05 ; -0.10 ; -0.09 ; -5.30 ; 0.72 ; -84.11
1316; 100.88 ; 2.00 ; -0.04 ; -0.82 ; 9.18 ; 9.22 ; 0.05 ; -0.11 ; 0.16 ; -5.13 ; 0.24 ; -82.06
1448; 93.98 ; 2.00 ; 0.00 ; -0.59 ; 9.38 ; 9.39 ; 0.06 ; -0.12 ; 0.21 ; -3.59 ; 0.00 ; -80.79
1579; 84.75 ; 2.00 ; 0.00 ; -0.39 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; 0.03 ; -2.42 ; 0.00 ; -84.74
1709; 77.46 ; 2.00 ; 0.00 ; -0.51 ; 9.41 ; 9.43 ; 0.06 ; -0.12 ; 0.17 ; -3.10 ; 0.00 ; -83.15
1839; 100.10 ; 2.00 ; 0.12 ; -0.51 ; 9.45 ; 9.47 ; 0.05 ; -0.12 ; 0.14 ; -3.09 ; -0.71 ; -80.36
1970; 79.96 ; 2.00 ; -0.04 ; -0.55 ; 9.34 ; 9.35 ; 0.06 ; -0.10 ; -0.01 ; -3.37 ; 0.24 ; -80.87
2104; 100.36 ; 2.00 ; 0.00 ; -0.51 ; 9.22 ; 9.23 ; 0.05 ; -0.10 ; -0.07 ; -3.17 ; 0.00 ; -80.87
2234; 69.76 ; 2.00 ; -0.08 ; -0.24 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.08 ; -1.44 ; 0.48 ; -83.23
2364; 97.36 ; 2.00 ; -0.12 ; -0.24 ; 9.38 ; 9.38 ; 0.06 ; -0.12 ; 0.27 ; -1.44 ; 0.72 ; -86.19
2495; 72.92 ; 2.00 ; 0.04 ; -0.35 ; 9.26 ; 9.26 ; 0.06 ; -0.13 ; 0.32 ; -2.18 ; -0.24 ; -79.53
2625; 90.31 ; 2.00 ; 0.00 ; -0.43 ; 9.38 ; 9.39 ; 0.05 ; -0.11 ; 0.13 ; -2.64 ; 0.00 ; -73.75
2758; 81.74 ; 2.00 ; 0.08 ; -0.82 ; 9.30 ; 9.33 ; 0.05 ; -0.10 ; -0.10 ; -5.06 ; -0.48 ; -70.65
2888; 96.04 ; 2.00 ; 0.08 ; -0.71 ; 9.30 ; 9.32 ; 0.05 ; -0.09 ; -0.17 ; -4.34 ; -0.48 ; -75.87
3019; 78.17 ; 2.00 ; 0.00 ; -0.71 ; 9.38 ; 9.40 ; 0.05 ; -0.10 ; -0.13 ; -4.31 ; 0.00 ; -79.40
3149; 84.05 ; 2.00 ; 0.04 ; -0.71 ; 9.26 ; 9.28 ; 0.05 ; -0.10 ; -0.01 ; -4.36 ; -0.24 ; -80.55
3279; 97.76 ; 2.00 ; -0.12 ; -0.47 ; 9.41 ; 9.43 ; 0.06 ; -0.11 ; 0.11 ; -2.86 ; 0.72 ; -84.73
3414; 98.89 ; 2.00 ; -0.12 ; -0.39 ; 9.22 ; 9.23 ; 0.06 ; -0.12 ; 0.16 ; -2.44 ; 0.73 ; -81.83
3546; 98.23 ; 2.00 ; -0.08 ; -0.51 ; 9.18 ; 9.19 ; 0.06 ; -0.11 ; 0.08 ; -3.18 ; 0.49 ; -79.07
3677; 83.22 ; 2.00 ; 0.00 ; -0.47 ; 9.34 ; 9.35 ; 0.06 ; -0.11 ; 0.08 ; -2.89 ; 0.00 ; -80.66
3807; 93.57 ; 2.00 ; 0.04 ; -0.27 ; 9.26 ; 9.26 ; 0.06 ; -0.11 ; 0.05 ; -1.70 ; -0.24 ; -81.01
3938; 91.60 ; 2.00 ; -0.04 ; -0.55 ; 9.26 ; 9.27 ; 0.05 ; -0.11 ; 0.09 ; -3.39 ; 0.24 ; -78.46
4071; 76.84 ; 2.00 ; -0.08 ; -0.43 ; 9.38 ; 9.31 ; 0.06 ; -0.11 ; 0.09 ; -2.64 ; 0.48 ; -79.20
4201; 86.14 ; 2.00 ; -0.04 ; -0.55 ; 9.34 ; 9.35 ; 0.05 ; -0.09 ; -0.11 ; -3.37 ; 0.24 ; -77.63
4332; 86.71 ; 2.00 ; 0.04 ; -0.43 ; 9.18 ; 9.27 ; 0.05 ; -0.10 ; -0.09 ; -2.69 ; -0.24 ; -82.14
4462; 91.64 ; 2.00 ; -0.16 ; -0.59 ; 9.34 ; 9.36 ; 0.05 ; -0.10 ; -0.02 ; -3.61 ; 0.96 ; -87.70
4593; 74.60 ; 2.00 ; -0.12 ; -0.67 ; 9.38 ; 9.40 ; 0.06 ; -0.11 ; 0.02 ; -4.07 ; 0.72 ; -88.08
4723; 98.11 ; 2.00 ; 0.00 ; -0.51 ; 9.38 ; 9.39 ; 0.05 ; -0.11 ; 0.10 ; -3.11 ; 0.00 ; -86.63
4857; 96.28 ; 2.00 ; 0.00 ; -0.55 ; 9.22 ; 9.19 ; 0.05 ; -0.11 ; 0.05 ; -3.41 ; 0.00 ; -79.77
4987; 93.32 ; 2.00 ; 0.04 ; -0.31 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.04 ; -1.91 ; -0.24 ; -81.07
5118; 94.61 ; 2.00 ; -0.08 ; -0.55 ; 9.26 ; 9.39 ; 0.05 ; -0.11 ; 0.05 ; -3.39 ; 0.48 ; -84.95
5250; 86.96 ; 2.00 ; 0.04 ; -0.55 ; 9.26 ; 9.27 ; 0.05 ; -0.11 ; 0.08 ; -3.39 ; -0.24 ; -83.65
5380; 94.10 ; 2.00 ; -0.04 ; -0.59 ; 9.22 ; 9.35 ; 0.05 ; -0.11 ; 0.07 ; -3.65 ; 0.24 ; -80.13
5514; 96.55 ; 2.00 ; 0.08 ; -0.35 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.07 ; -2.17 ; -0.48 ; -84.89
5645; 105.95 ; 2.00 ; -0.04 ; -0.71 ; 9.41 ; 9.44 ; 0.05 ; -0.11 ; 0.04 ; -4.29 ; 0.24 ; -82.63
5777; 73.14 ; 2.00 ; -0.04 ; -0.63 ; 9.30 ; 9.32 ; 0.05 ; -0.11 ; 0.03 ; -3.86 ; 0.24 ; -82.84
5907; 77.78 ; 2.00 ; 0.00 ; -0.63 ; 9.18 ; 9.20 ; 0.05 ; -0.11 ; 0.03 ; -3.91 ; 0.00 ; -81.92
6036; 94.30 ; 2.00 ; 0.00 ; -0.51 ; 9.22 ; 9.23 ; 0.05 ; -0.11 ; 0.06 ; -3.17 ; 0.00 ; -81.99
6170; 95.58 ; 2.00 ; -0.04 ; -0.39 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.07 ; -2.39 ; 0.24 ; -84.50
6301; 90.28 ; 2.00 ; -0.04 ; -0.31 ; 9.26 ; 9.26 ; 0.05 ; -0.11 ; 0.05 ; -1.94 ; 0.24 ; -86.57
6431; 79.77 ; 2.00 ; 0.04 ; -0.51 ; 9.45 ; 9.47 ; 0.05 ; -0.11 ; 0.01 ; -3.09 ; -0.24 ; -80.06
6561; 94.42 ; 2.00 ; -0.04 ; -0.39 ; 9.30 ; 9.31 ; 0.05 ; -0.11 ; 0.03 ; -2.42 ; 0.24 ; -82.28
6692; 87.61 ; 2.00 ; -0.04 ; -0.39 ; 9.30 ; 9.31 ; 0.05 ; -0.11 ; 0.06 ; -2.42 ; 0.24 ; -81.82
6827; 97.06 ; 2.00 ; -0.08 ; -0.47 ; 9.34 ; 9.35 ; 0.05 ; -0.11 ; 0.11 ; -2.89 ; 0.48 ; -84.11
6958; 64.30 ; 2.00 ; 0.08 ; -0.59 ; 9.38 ; 9.39 ; 0.06 ; -0.11 ; 0.14 ; -3.59 ; -0.48 ; -80.20
7087; 95.22 ; 2.00 ; -0.08 ; -0.55 ; 9.45 ; 9.47 ; 0.05 ; -0.11 ; 0.02 ; -3.32 ; 0.47 ; -84.93
7218; 90.19 ; 2.00 ; 0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.06 ; -0.11 ; 0.15 ; -3.13 ; -0.24 ; -78.88
7349; 80.98 ; 2.00 ; -0.04 ; -0.47 ; 9.30 ; 9.31 ; 0.06 ; -0.11 ; 0.15 ; -2.90 ; 0.24 ; -80.96
7479; 86.60 ; 2.00 ; 0.08 ; -0.55 ; 9.26 ; 9.27 ; 0.06 ; -0.12 ; 0.15 ; -3.39 ; -0.48 ; -77.81
